Artikelnummer;Artikelname
A09517;Duni Servietten 3-lagig 1/4 Falz dunkelblau 40x40cm - 250Stk.
A09542;Duni Servietten USA 2-lagig 1/8 Falz 40x40cm - 300Stk.
A09479;Duni Papier-Dessert Deckchen weiß 17x17cm - 4000Stk.
A10107;TK Hanna Chicken Crossies - 3kg
A10154;TK Lades Crunchy Chicken Burger 100g - 1kg
A05352;Paaskebrod Snack Dressing - 900ml
A05514;Paaskebrod Snack Ketchup - 900ml
A06523;Cocktailkirschen rot ohne Stiel - 720ml
A06545;La Perla Ananas Stücke - 850ml
A06529;Kirschäpfel - 425ml
A04694;(X)Hochland Pro. Cheddar Cheese Sauce - 750g
A04657;Ömür Hirtenkäse 40% - 15kg
A04652;Gazi Käse 55% in Salzlake - 14kg
A04658;Puma Grün 40% - 16kg
A04659;Puma Rot Combi - 16kg
A04653;Gazi Weichkäse 55% - 800g
A04641;Gazi Schafskäse 50% - 800g
A04635;Sirtakis Halloumi - Grillkäse 43%, vakuumiert - 1kg
A04634;Gazi Hellim - Käse für Pfanne und Grill - 250g
A04106;Best Peperoni-Salami Kal.45 geschnitten - 500g
A04101;Best Salami Pute-Rind Kal.80 (halal) geschnitten - 1kg
A04100;Best Peperoni-Salami Pute-Rind Kal.45 (halal) geschnitten - 500g
A04404;Best Sucuk Knoblauchwurst Kal.40 geschnitten - 500g
A03115;Insula Schokoladenstreusel- 1kg
A03000;Insula Nonpareilles - 1kg
A03712;Bensdorp Kakao entölt - 500g
A03166;Insula Marzipan-Rohmasse - 1kg
A03165;Insula Krokantstreusel - 500g
A03334;Pflaumen getrocknet ohne Stein - 1kg
A03013;Insula Kokosflocken fein - 1kg
A03027;Rosinen - 500g
A03168;Mandeln gemahlen - 1kg
A09607;Teelichter Brenndauer 4 Stunden - 100Stk.
A06520;Apfelmus leicht gezuckert - 4250ml
A02479;Goldstern Weinbrand 30%vol. - 0,7L
A03029;RUF Vanille-Pudding - 1kg
A03113;RUF Schokoladen-Pudding - 1kg
A03148;RUF Götterspeise Kirsch - 1kg
A03147;RUF Götterspeise Waldmeister - 1kg
A03030;RUF Vanillin-Zucker - 1kg
A03028;RUF Backpulver - 1kg
A03150;RUF Tortenguss klar ohne Gelatine - 1kg
A03149;RUF Sahnefest - 1kg
A03111;RUF Mousse au Chocolate - 1kg
A03145;RUF Panna Cotta - 1kg
A03144;RUF Schlemmercreme Erdbeer - 1kg
A03143;RUF Schlemmercreme Zitrone - 1kg
A03142;RUF Schlemmercreme Stracciatella - 1kg
A03154;RUF Raspelschokolade Weiß - 1kg
A03114;RUF Waffel-Mix - 1kg
A03146;RUF Creme Brulee - 1kg
A03112;RUF Mousse Bourbon-Vanille - 1kg
A03110;RUF Bayerische Creme - 1kg
A03151;RUF Tortenguss rot - 1kg
A03140;RUF Schlemmercreme Vanille - 1kg
A03141;RUF Schlemmercreme Schoko - 1kg
A03153;RUF Raspelschokolade Zartbitter - 1kg
A03155;RUF Haselnuss Krokant - 1kg
A09064;Pappteller rechteckig 13x20cm - 250Stk.
A09067;Pappteller mit Abriss (9x15+3cm) - 250Stk.
A09066;Pappteller mit Abriss (8x18+3cm) - 250Stk.
A09078;Pappteller rechteckig (17x23cm) - 250Stk.
A09062;Pappschüssel rund 32x2cm - 50Stk.
A09071;Pommesschale (KU1) 11x19,5x3,2cm - 250Stk.
A09072;Pommesschale (KU41) 13x18x3cm - 250Stk.
A09074;Pommesschale (KU60) 15x23x2cm - 100Stk.
A09073;Pommesschale (KU51) 9x14x3cm - 250Stk.
A09075;Pommesschale (KUOB) 10,5x17,5x3cm - 250Stk.
A09070;Pommesschale (KU00) 8x14x3cm - 250Stk.
A08432;Mehrweg-Kaffeelöffel - 20Stk.
A09054;Grill-&Pappteller (KU29) rund - 50Stk.
A02940;Flagman's Madeira Likörwein 19%vol. - 0,75L
A03339;Ahama Rote Linsen - 5kg
A09045;Schiffchen Papier (8,5x27,5cm) - 25Stk.
A09766;Spiraltopfreiniger aus Edelstahl (Ø7,5cm) - 8Stk.
A09760;Topfreiniger Draht rund (Ø13cm) - 10Stk.
A06694;Citadel Letscho - 4250ml
A05388;Hamker Paprika Soße - 5kg
A05323;Hamker Jägerschnitzel-Soße - 5kg
A05601;Hamker Salatmayonnaise 50% lieblich - 10kg
A05600;Hamker Salatmayonnaise 50% - 875ml
A05504;Hamker Curry-Gewürzketchup - 10kg
A06115;Hellma Rohrzucker Sticks - 500x4g
A03107;Hellma Mandel in Kakaohülle - 400x2,5g
A03106;Hellma Espressobohne schokoliert - 380Stk.
A03095;Hellma Schoko Krispy - 380x1,1g
A05710;Tessiner Feigensenf - 390g
A02799;Söhnlein Brillant Sekt trocken 11%vol. - 0,75L
A02439;Wodka Gorbatschow 37,5%Vol.- 0,7L
A02338;Mangaroca Batida De Coco 16%vol. - 0,7L
A05034;Acetosur Essig-Säure 80% - 1L
A06488;Pfifferlinge unsortiert vorgesalzen - 850ml
A04208;Peter Faden Deutscher Vorderschinken eckig geschnitten - 1kg
A04209;Peter Faden Hinterschinken geschnitten - 500g
A04202;Peter Faden Putenschinken geschnitten - 1kg
A04105;Peter Faden Salami Rind Kal.60 (halal) geschnitten - 1kg
A03015;Mandeln gehobelt - 1kg
A03332;Mandeln gehackt - 1kg
A03331;Mandeln gestiftelt - 1kg
A03333;Haselnusskerne gemahlen - 1kg
A07209;Walnusskerne - 500g
A04801;H-Milch Starmilch 3,5% - 1L
A04800;H-Milch Starmilch 1,5% - 1L
A04998;Butaris Feines Butterschmalz 99,8% Fett - 2,5kg
A06561;Achatschnecken - 850ml
A10100;TK Backcamembert Gourmet 12x75g - 900g
A05226;Wiegand Salat-Dressing Kräuter - 5L
A05224;Wiegand Salat-Dressing Cocktail - 5L
A05225;Wiegand Salat-Dressing Joghurt - 5L
A10602;TK Best Burger Hamburgerfleisch 180g - 4,5kg
A10603;TK Best Burger Hamburgerfleisch 227g Gigant - 4,54kg
A10013;TK Salomon Hamburgerbrötchen Homestyle 105g - 2x18Stk.
A10140;TK Salomon Primo Mozzarella Fries - 1kg
A05363;Salomon Chili-Cheese Burger Soße - 2L
A10130;TK Salomon Chik'n Fingers Buttermilk - 1kg
A10147;TK Salomon Camembert Bites - 1kg
A10647;TK Salomon Smash Burger (halal) 80g - 4,32kg
A10018;TK Salomon Smash Burger Bun Extra Soft - 60x65g
A10162;TK Salomon Vegan Plant Smash Burger 85g - 3,06kg
A10622;TK Salomon Giant Burger 226g - 4,52kg
A10621;TK Salomon Giant Burger 180g - 5,04kg
A10626;(X)TK Salomon Giantburger 339g - 5,42kg
A05365;Salomon Mango Dip - 2L
A10143;TK Salomon Virginia Chik'n Wings BBQ - 2,5 kg
A10129;TK Salomon Buffalo Chik'n Wings extra hot - 2,5kg
A05364;Salomon Chunky Salsa Soße - 2L
A05362;Salomon Asia Soße - 2L
A10635;TK Salomon Guacamole Classic - 500g
A10623;TK Salomon Hitburger Plus 125g - 5kg
A10624;TK Salomon Hitburger Plus 180g - 4,5kg
A10132;TK Salomon Chili&Cheese Nuggets - 1kg
A10128;TK Salomon Broccoli&Cheese Nuggets - 1kg
A10126;TK Salomon Beer Battered Onion Rings thin cut - 1kg
A10137;TK Salomon Peppers Cheddar Cheese - 1kg
A10138;TK Salomon Peppers Cream Cheese - 1kg
A10139;TK Salomon Peppers red&hot - 1kg
A10141;TK Salomon Primo Mozzarella Sticks - 1kg
A10127;TK Salomon Breaded Mozzarella Sticks - 1kg
A10134;TK Salomon Crispy Chik'n Wings Gourmet - 2,5kg
A10136;TK Salomon Crunchy Chik'n Burger 90g - 1,5kg
A10133;TK Salomon Crispy Chik'n Fingers - 1kg
A10617;TK Ranch Master Hamburgerfleisch 100g (halal) - 5kg
A10135;TK Salomon Crunchy Chik'n Burger 135g - 1,5kg
A10634;(X)TK Salomon Pulled Chick'n Burger 100g - 2,4kg
A09997;(X)TK Salomon Brioche Burger Bun - 20x80g
A05367;Salomon The Real Burger Soße - 2L
A10616;(X)TK Ranch Master Gigaburger 332g - 4,98kg
A10633;TK Salomon Homestyle Burger 27x200g - 5,40kg
A10142;TK Salomon Sunny Veggie Burger - 1,3kg
A10511;(X)TK Vossko Hähnchenstreifen gebraten - 1,5kg
A10714;TK Sprehe Hähnchenformschnitte 150g - 3kg
A10145;TK Sprehe Chicken Burger 70g paniert - 3kg
A10148;TK Sprehe Hähnchenform Nuggets - 3kg
A10720;TK Sprehe Putenform-Schnitzel paniert 150g - 3kg
A10721;TK Sprehe Putenform-Schnitzel paniert 200g - 3kg
A10149;TK Sprehe Hähnchenfrikadellen 120g - 3kg
A10705;TK Sprehe Hähnchenbrustfilet,gewürzt 120g - 3kg
A10706;TK Sprehe Hähnchenbrustfilet,gewürzt 140g - 3kg
A10707;TK Sprehe Hähnchenbrustfilet,gewürzt 160g - 3kg
A10708;TK Sprehe Hähnchenbrustfilet,gewürzt 180g - 3kg
A10719;TK Sprehe Hähnchenschnitzel paniert 180g - 3kg
A10715;TK Sprehe Hähnchenschnitzel paniert 100g - 3kg
A10716;TK Sprehe Hähnchenschnitzel paniert 120g - 3kg
A10717;TK Sprehe Hähnchenschnitzel paniert 140g - 3kg
A10718;TK Sprehe Hähnchenschnitzel paniert 160g - 3kg
A10711;(X)TK Sprehe Hähnchen-Knusperfilet 150g - 3kg
A10704;TK Sprehe Hähnchenbrust-streifen vorgebraten - 3kg
A10503;TK Sprehe Truthahn-Gyros gewürzt&vorgebraten - 3kg
A10731;TK Sprehe Hähnchen-Pfannengyros gewürzt&gebraten - 3kg
A10144;TK Sprehe Barbecue Chicken Wings mild - 3kg
A07037;Ültje Erdnüsse geröstet&gesalzen - 20x50g
A05502;Gyma Gewürzketchup Curry Pikant - 10kg
A05501;Gyma Gewürzketchup Classic - 10kg
A02077;Glas Veltins Pilsener - 20x0,5L
A02078;Glas Veltins Pilsener - 24x0,33L
A07538;Dönermesser Glatt - 80mm - 500
A07539;Dönermesser Welle - 80mm - 501
A07772;Dönermesser glatt Ø90mm - 502
A07770;Dönermesser glatt Ø120mm - 506
A07573;Menümesser Set 3-tlg. - 631
A07571;Menügabel Set 3-tlg. - 632
A07572;Menülöffel Set 3-tlg. - 633
A07555;Kaffeelöffel Set 3-tlg. - 634
A07565;"Küchenschere Universal - 7""=18cm - 1007"
A07705;Geflügelschere Verchromt Top - 25cm - 1066
A07552;Geflügelschere Softgriff - 23cm - 1068
A07771;Schlachtmesser-Satz 3-tlg. - 1202
A07706;Küchenmesser Set 6-tlg. - 1235
A07712;Magnet-Messerleiste - 30cm - 1330
A07648;Spitzsieb INOX - 18/10 - 23cm - 2023
A07643;Schüssel 0,75L - 180mm - 2551
A07644;Schüssel 1,50L - 220mm - 2553
A07554;Handschuhe (Paar) Fauster - 320mm - 2814
A07715;Handschuhe (Paar) Fauster - 380mm - 2815
A07534;Bratpfanne Alu - 5cm - 24cm - 3386
A07535;Bratpfanne Alu - 6,5cm - 28cm - 3388
A07536;Bratpfanne Alu - 7cm - 32cm - 3390
A07735;GN-Deckel Inox 1/3 (325x176mm) - 4130
A07736;GN-Behälter Inox 1/3 (325x176x65mm) 2,5L - 4136
A07737;GN-Behälter Inox 1/3 (325x176x100mm) 4L - 4137
A07738;GN-Behälter Inox 1/3 (325x176x150mm) 5,7L - 4138
A07739;GN-Deckel Inox 1/4 (265x162mm) - 4140
A07740;GN-Behälter Inox 1/4 (265x162x65mm) 1,8L - 4146
A07741;GN-Behälter Inox 1/4 (265x162x100mm) 2,8L - 4147
A07742;GN-Behälter Inox 1/4 (265x162x150mm) 4L - 4148
A07748;GN-Deckel Inox 1/6 (176x162mm) - 4160
A07749;GN-Behälter Inox 1/6 (176x162x65mm) 1L - 4166
A07750;GN-Behälter Inox 1/6 (176x162x100mm) 1,6L - 4167
A07751;GN-Behälter Inox 1/6 (176x162x150mm) 2,4L - 4168
A07752;GN-Behälter Inox 1/6 (176x162x200mm) 3,4L - 4169
A07744;GN-Behälter Inox 1/9 (176x108x65mm) 0,6L - 4196
A07745;GN-Behälter Inox 1/9 (176x108x100mm) 1L - 4197
A07574;Messbecher PP - 1000ml 125mm - 5168
A07575;Messbecher PP - 2000ml 148mm - 5169
A07576;Messbecher PP - 3000ml 242mm - 5170
A07577;Messbecher PP - 5000ml 262mm - 5171
A07672;Vorlegelöffel weiss - 230mm - 5297
A07670;Vorlegelöffel schwarz - 235mm - 5298
A07671;Vorlegelöffel schwarz Perf. - 235mm - 5299
A07521;Ausstellbl./Ablaufk. Alu400x250mm - 5372
A07522;Ausstellbl./Ablaufk. Alu480x320mm - 5373
A07523;Ausstellbl./Ablaufk. Alu600x400mm - 5374
A07761;Schöpflöffel - 23cm - 5949
A07639;Schöpflöffel - 30cm - 5951
A07640;Schöpflöffel - 32cm - 5952
A07641;Schöpflöffel - 33cm - 5953
A07642;Schöpflöffel - 37cm - 5954
A07762;Schöpflöffel - 40cm - 5955
A07635;Schaumlöffel - 10cm 32cm - 5964
A07636;Schaumlöffel - 12cm 35cm - 5965
A07626;Pommes-Frites-Löffel - 12cm - 5995
A07700;Pommes-Frites-Löffel - 14cm - 5996
A07627;Pommes-Frites-Löffel - 16cm - 5997
A07551;Folientrenngerät 30cm - 6019
A07498;Folientrenngerät 45cm - 6020
A07634;Salzstreuer Glas - 80mm - 6051
A07734;Pfefferstreuer Glas - 80mm - 6052
A07582;Pfefferstreuer Glas - 0,025L - 12cm - 6053
A07567;Marmeladen-/ParmesanDose - 6060
A07676;Zuckerdosierer - 0,12L - 6061
A07732;Zuckerdosierer - 0,26L - 6062
A07677;Zuckerspender - 13,5cm - 6063
A07709;Gyros-/Dönerschaufel Inox - 28,5x27x11cm - 6129
A07631;Quetschflasche weiß - 0,7 l - 6132
A07630;Quetschflasche rot - 0,7 l - 6134
A07628;Quetschflasche gelb - 0,7 l - 6136
A07763;Quetschflasche weiß - 0,95 l - 6137
A07728;Quetschflasche rot - 0,95 l - 6138
A07729;Quetschflasche gelb - 0,95 l - 6139
A07645;Dosierspender 3,5L - 290mm - 6142
A07623;Pizzateig-Behälter - HDPE600x400x70mm - 6187
A07624;Pizzateigbehälter Deckel - HDPE 600x400mm - 6188
A07629;Pizzateigbehälter - HDPE 600x400x80mm - 6189
A07595;Pizzablechhalter 15 Fäch. - Ø22/h.69cm - 6192
A07533;Bonschiene/-Leiste - 60cm - 6197
A07569;Menage Salz/Pfeffer - 6202
A07570;Menage Salz/Pfeffer/Senf 12cm - 6209
A07720;Schneidbrett Kunststoff Weiss 53x32x2cm - 8701
A07721;Schneidbrett Kunststoff Rot 53x32x2cm - 8706
A07518;Auflaufform Porzellan - 24x14x4,5cm - 8831
A07765;Pide-Schieber 50x22cm - 9400
A07585;Pide Schieber 68x22cm - 9401
A07586;Pide Schieber 80x22cm - 9402
A07584;Pide Schieber 67x22cm Griffbrett - 9404
A07603;Pizzaschaufel - 33x90cm - 9425
A07605;Pizzaschaufel - 40x40cm 90cm - 9427
A07607;Pizzaschaufel gelocht - 33x90cm - 9435
A07608;Pizzaschaufel gelocht - 40x40cm 90cm - 9437
A07583;Pide Schieber 52x22cm Griffbrett - 9447
A07609;Pizzaschaufel Holz mit Metallsp. - 100cm - 9448
A07599;Pizzaschaufel - 20cm 60cm - 9503
A07600;Pizzaschaufel - 24x17cm 51cm - 9505
A07604;Pizzaschaufel - 35x30cm 115cm - 9506
A07598;Pizzaschaufel - 20cm 150cm - 9507
A07606;Pizzaschaufel - 45x40cm 175cm - 9508
A07601;Pizzaschaufel - 30cm 80cm - 9509
A07610;Fladen-/Pizzablech (Blaublech) Ø20cm - 9520
A07611;Fladen-/Pizzablech (Blaublech) Ø22cm - 9522
A07612;Fladen-/Pizzablech (Blaublech) Ø24cm - 9524
A07613;Fladen-/Pizzablech (Blaublech) Ø26cm - 9526
A07614;Fladen-/Pizzablech (Blaublech) Ø28cm - 9528
A07615;Fladen-/Pizzablech (Blaublech) Ø30cm - 9530
A07616;Fladen-/Pizzablech (Blaublech) Ø32cm - 9532
A07618;Fladen-/Pizzablech (Blaublech) Ø36cm - 9536
A07619;Fladen-/Pizzablech (Blaublech) Ø40cm - 9540
A07620;Fladen-/Pizzablech (Blaublech) Ø45cm - 9545
A07621;Fladen-/Pizzablech (Blaublech) Ø50cm - 9550
A07622;Fladen-/Pizzablech (Blaublech) Ø60cm - 9560
A07591;Pizzablech Alu gelocht Ø25cm - 9574
A07592;Pizzablech Alu gelocht Ø28cm - 9575
A07593;Pizzablech Alu gelocht Ø30cm - 9576
A07594;Pizzablech Alu gelocht Ø33cm - 9577
A07530;Blaublech rechteckig - 400x300x30mm - 9594
A07531;Blaublech rechteckig - 500x350x30mm - 9595
A07532;Blaublech rechteckig - 600x400x30mm - 9596
A07692;"Gebäckzange rostfrei - 8""=21cm - 11105"
A07698;Aufschnittnehmer - 11x6cm - 11123
A07517;"Allzweckzange rostfrei - 9 1/2""=25cm - 11131"
A07516;"Allzweckzange - INOX12""=30cm - 11132"
A07704;"Allzweckzange rostfrei - 15""=40cm - 11133"
A07666;Universalzange - 24,5cm - 11303
A07633;Salatzange - 24cm - 11308
A07579;Nudelzange 20cm - 11315
A07697;Salatzange Edelstahl rostfrei - 23cm - 11316
A07667;Universalzange geschlitzt - 20cm - 11321
A07668;Universalzange halboffen - 20cm - 11322
A07669;Universalzange halboffen - 20cm - 11323
A07544;Snackwelle mit 2 Ablagen - 26897
A07507;Abwiegeschaufel - Alu285g - 265mm - 27026
A07508;Abwiegeschaufel - Alu450g - 310mm - 27031
A07509;Abwiegeschaufel - Alu800g - 350mm - 27035
A07510;Abwiegeschaufel - PE250ml - 250mm - 27075
A07511;Abwiegeschaufel - PE500ml - 310mm - 27081
A07512;Abwiegeschaufel - PE700ml - 350mm - 27085
A07695;Fruchtpresse - 23cm - 27324
A07545;Eierteiler - 27416
A07515;Abzieh-/Wetzstein Sense Korn 600/120 - 27421
A07513;Abzieh -/Wetzstein Korn 600/120 - 27424
A07760;Eierteiler - 27430
A07578;Messerschärfer/-Schleifer 165x48x65mm - 27433
A07514;Abzieh-/Wetzstein für Dönermesser - 27434
A07766;Schleiffeile für Dönermesser 75x10mm - 27435
A07768;Burger-Smasher Ø140mm - 27513
A07549;Fleischklopfer Alu 285mm - 27515
A07589;Pizza-/Teigrädchen glatt - 100mm - 28513
A07590;Pizza-/Teigrädchen glatt 100mm - 28523
A07722;Stipprolle - 13cm - 28613
A07655;Stipprolle Kunststoff - 12cm - 28712
A07663;Teigrolle - 25cm - 29001
A07664;Teigrolle - 33cm - 29002
A07662;Teigrolle - 24cm - 29024
A07719;Teigrolle - 30cm - 29027
A07658;Streuer Inox - 110mm - Ø65mm - 29406
A07656;Streuer Alu - 65-125mm - 29408
A07657;Streuer Alu Hals - 80-190mm - 29409
A07659;Streuer Lochdeckel groß - 29413
A07733;Streuer Siebdeckel - 95mm - Ø70mm - 29414
A07637;Schneebesen - 35cm - 32135
A07638;Schneebesen - 40cm - 32140
A07731;Küchensieb 18/10 - 8cm - 32890
A07566;Küchensieb 18/10 - 20cm - 32896
A07557;Kellnermesser 120mm - 34711
A07543;Dosenöffner Maschine - 84cm - 35000
A07540;Dosenöffner Automatik - 35010
A07542;Dosenöffner Hand - 35020
A07541;Dosenöffner Fine Cut - 35030
A07547;Flachreibe Inox - 305x115mm - 35073
A07548;Flachreibe Inox grob - 305x115mm - 35075
A07632;Reibe 4-Fach - 24cm - 35085
A07660;Teigabstecher /-schaber - 120x80mm - 37322
A07661;Teigabstecher /-schaber - 120x85mm - 37342
A07646;Spachtel Rostfrei - 10cm - 37610
A07647;Spachtel Rostfrei Kunststoff - 10cm - 37630
A07723;Spachtel Rostfrei Kunststoff - 12cm - 37632
A07724;Bäckerspachtel Rostfrei - 15cm - 37715
A07527;Bäckerspachtel Rostfrei - 20cm - 37720
A07528;Backpinsel Kunststoff Natur - 2''=50mm - 37944
A07529;Backpinsel Kunststoff Nylon - 2''=50mm - 37948
A07725;Pinsel Kunststoff Borste - 1 1/2''=40mm - 37953
A07726;Pinsel Kunststoff Borste - 2 1/2''=60mm - 37955
A07727;Pinsel Kunststoff Borste - 3''=75mm - 37956
A07526;Backblech-Reinig. -Bürste Messingd. 14cm - 37967
A07525;Backblech-Reinig. -Bürste - 14cm - 37969
A07568;Mehlbesen holz - 30x300mm - 37970
A07537;Brotstreicher - 430mm - 145x65mm - 37976
A07597;Pizzaofenbürste Messingdraht - 95x25cm - 37998
A07596;Pizzaofenbürste drehbar - 150x22,5cm - 37999
A07769;Teigschaber Kunststoff (215x130mm) - 38120
A07696;Stielschaber - 90x50mm - 26cm - 38526
A07652;Stielschaber - 107x68mm - 32cm - 38532
A07654;Stielschaber - 120x75mm - 32cm - 38533
A07653;Stielschaber - 118x62mm - 25cm - 38825
A07559;Kochlöffel Oval Holz 300mm - 38932
A07560;Kochlöffel Oval Holz 350mm - 38933
A07561;Kochlöffel Rund Holz 450mm - 38945
A07562;Kochlöffel Rund Holz 600mm - 38947
A07580;Pfannenwender Buchenholz 28cm - 38972
A07587;"Pizza-/Kuchenwender - 9""=22cm - 56622"
A07556;"Kebapmesser Glatt - 19""=48cm - 61948"
A07717;"Kebapmesser Glatt Rot - 19""=48cm - 61983"
A07718;"Kebapmesser Glatt Gelb - 19""=48cm - 61984"
A07553;Gyrosmesser Welle - 14''=36cm - 62335
A07673;"Wellenmesser - 8""=21cm - 64221"
A07708;"Universal Arbeitsmesser Soft Cut - 10""=26cm - 65025"
A07564;Küchenmesser glatt 8cm - 66008
A07665;Tomaten-/Garniermesser - 11cm - 67711
A07707;"Koch-/Garniermesser - 8""=21cm - 68421"
A07558;"Koch-/Garniermesser - 10""=26cm - 68426"
A07651;"Stechmesser rot - 8""=21cm - 68951"
A07649;"Stechmesser gelb - 7""=18cm - 68978"
A07650;"Stechmesser gelb - 8""=21cm - 68981"
A07519;"Ausbeiner gelb - 5""=12cm - 69272"
A07520;"Ausbeiner gelb - 6""=15cm - 69275"
A07764;"Ausbeiner gelb, gebogen - 6""=15cm - 69675"
A07674;"Wetzstahl oval - 12""=31cm - 73131"
A07675;Wetzstahl Rund - 12''=31cm - 73231
A07524;"Back- u. Glasur Palette - 10""=26cm - 74526"
A07563;"Kuchenheber- Pf-Wender - 7""=17cm - 75617"
A07581;"Pfannenwender gebogen - 10""=26cm - 76026"
A07588;"Pizza-/Lasagneheber - 6""=15cm - 76515"
A07546;"Fettabstecher 7""=18cm - 76918"
A05377;Thomy Soße Hollandaise Gourmet - 1L
A08709;Tragetasche weiß (25+12x45cm) - 20x100Stk.
A08710;Tragetasche weiß (28+14x48cm) - 20x100Stk.
A02387;Ramazzotti Aperitivo Rosato 15%vol. - 0,75L
A06198;Frisch Pom Fix Kartoffelgratin - 3kg
A04903;Wernsing Baked Potatoes - 4Stk.
A04905;(B) Frisch Wernsing Pommes 8mm - 2x5kg
A11223;TK Wernsing Süßkartoffel Pommes - 2,5kg
A06195;Frisch Pom Fix Bratkartoffeln mit Katenspeck & Zwiebeln - 3kg
A06196;Frisch Pom Fix Kartoffelscheiben gegart - 3kg
A06197;Frisch Pom Fix Delikatess Garkartoffeln - 3kg
A06170;Frisch Pom Fix Midi Delikatess Garkartoffeln - 3kg
A03819;Wernsing Kartoffelsalat - 3kg
A03826;Wernsing Weißkrautsalat pikant - 5kg
A03825;Wernsing Weißkrautsalat pikant - 3kg
A03827;Wernsing Coleslaw/Krautsalat - 2kg
A03822;Wernsing Nudelsalat - 3kg
A03824;Wernsing Weißkrautsalat in Dilldressing - 5kg
A03823;Wernsing Weißkrautsalat in Dilldressing - 3kg
A03816;Wernsing Farmersalat - 3kg
A03815;Wernsing Bohnensalat in Joghurtdressing - 3kg
A03818;Wernsing Gurkensalat in Joghurtdressing - 5kg
A03817;Wernsing Gurkensalat in Joghurtdressing - 3kg
A03821;Wernsing Mexicosalat - 3kg
A03820;Wernsing Maissalat - 3kg
A05380;Wernsing Knoblauchsoße - 2kg
A03829;Wernsing Currysoße - 2kg
A05607;Wernsing Salatmayonnaise 50% Gold - 10kg
A05520;Wernsing Tomaten Ketchup Gold - 10kg
A05519;Wernsing Curry-Ketchup Gold - 10kg
A05518;Wernsing Curry-Ketchup extra Qualität - 10kg
A05517;Wernsing Curry-Gewürz-Ketchup Gold scharf - 10kg
A03830;Wernsing Zigeuner-Sauce Extra Qualität - 5kg
A05378;Wernsing Aioli Soße - 3kg
A04508;Wernsing Tzatziki - 3kg
A05379;Wernsing Kartoffelcreme - 3kg
A05381;Wernsing Sour Cream - 3kg
A05223;Wernsing Joghurt Dressing - 3kg
A02474;Fies Select Kirschwasser 42%vol. - 0,7L
A02286;Fies Select Williamsbirne 42%vol. - 0,7L
A02285;Fies Select Waldhimbeergeist 42%vol. - 0,7L
A02284;Fies Select Marillenbrand 42%vol. - 0,7L
A02282;Fies Select Badisches Obstwasser 38%vol. - 0,7L
A03344;Frießinger Mühle Maisstärke - 10kg
A06104;(X)Speisesalz - 10kg
A03418;Frießinger Mühle Maismehl - 1kg
A03417;Frießinger Mühle Maisgrieß - 1kg
A03006;Frießinger Mühle Trockenhefe - 500g
A03330;Küchenmeister Quinoa - 1kg
A03452;Finezza Rimacinata Semola - 1kg
A03403;Arvan Pizzamehl (Typ00) - 25kg
A03400;Arvan Pizzamehl (Typ00) - 10x1kg
A03401;Arvan Weizenmehl (Typ405) - 10x1kg
A03402;Arvan Pizzamehl (Typ00) - 10kg
A03404;Arvan Weizenmehl (Typ405) - 25kg
A03453;Finezza Rimacinata Semola - 25kg
A06108;Nordzucker Puderzucker - 250g
A06109; Würfelzucker - 500g
A06106;Brauner Rohrzucker - 1kg
A06110;Zucker fein - 1kg
A06113;Zucker fein - 25kg
A06402;La Perla Thunfischstücke in Öl - 1705g
A06460;La Perla Peperonischoten grün - 4250ml
A06549;La Perla Oliven schwarz mit Stein - 4250ml
A06550;La Perla Oliven schwarz ohne Stein - 4250ml
A06547;La Perla Oliven grün ohne Stein - 4250ml
A05903;La Perla Kapern - 720ml
A06453;La Perla Artischockenherzen Ringpull - 425ml
A06454;La Perla Champignons geschnitten 3. Wahl - ATG 1380g
A06455;La Perla Gemüse-Mais Ringpull - 425ml
A06465;La Perla Gemüse-Mais - 2650ml
A06456;La Perla Geschälte Tomaten - 1500g
A06596;La Perla Tomaten gewürfelt - 3100ml
A06462;La Perla Pizza Soße - 4250ml
A06531;La Perla Ananas in Scheiben - 850ml
A06530;La Perla Ananas in Scheiben - 3100ml
A06401;La Perla Sardellenfilets Peru - 600g
A06403;La Perla Thunfischstücke in Öl mit Ringpull - 185g
A06587;Ofri Thunfischstücke in Öl - 1705g
A06404;La Perla Thunfischstücke in WASSER - 1705g
A06458;La Perla Jalapenos grün geschnitten - 3100ml
A06461;La Perla Pfefferoni scharf - 2650ml
A06463;La Perla Tomatenpaprika-Streifen mix - 4250ml
A03047;La Perla Thunfischstücke in Öl, wiederverschließbar - 1,3kg
A06459;La Perla Peperoni geschnitten - 4250ml
A06464;La Perla Tomatenpaprika-Streifen rot - 4250ml
A06452;La Perla Artischockenherzen 25-30 - 2650ml
A06548;La Perla Oliven schwarz in Scheiben - 4250ml
A06457;La Perla Jalapenos geschnitten rot - 3100ml
A05259;Develey Cocktail Soße - 875ml
A05247;Develey Hamburger Soße - 2kg
A05311;Develey Hamburger Soße - 875ml
A05309;Develey Barbecue Soße - 875ml
A05162;Develey Senf mittelscharf für Saucenspender - 2x5kg
A05161;Develey Pommes Sauce für Saucenpender - 2x5kg
A05163;Develey Tomatenketchup für Saucenspender - 2x5kg
A05201;Develey French Dressing - 14x75ml
A05200;Develey Balsamico Dressing - 14x75ml
A05203;Develey Joghurt Dressing - 14x75ml
A05202;Develey Honig-Senf Dressing - 14x75ml
A05260;Develey Süß - Sauer Soße - 875ml
